League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Bundesliga,09/11/2025,Freiburg,St Pauli,1.97,1.78
Bundesliga,09/11/2025,Stuttgart,Augsburg,1.53,2.41
Bundesliga,09/11/2025,Ein Frankfurt,Mainz,1.53,2.41
Bundesliga,21/11/2025,Mainz,Hoffenheim,1.6,2.27
Bundesliga,22/11/2025,Augsburg,Hamburg,1.68,2.11
Bundesliga,22/11/2025,Bayern Munich,Freiburg,1.34,3.12
Bundesliga,22/11/2025,Dortmund,Stuttgart,1.51,2.47
Bundesliga,22/11/2025,Heidenheim,M'gladbach,1.66,2.15
Bundesliga,22/11/2025,Wolfsburg,Leverkusen,1.6,2.26
Bundesliga,22/11/2025,FC Koln,Ein Frankfurt,1.5,2.49
Bundesliga,23/11/2025,RB Leipzig,Werder Bremen,1.32,3.24
Bundesliga,23/11/2025,St Pauli,Union Berlin,2.1,1.69
Bundesliga,28/11/2025,M'gladbach,RB Leipzig,1.42,2.72
Bundesliga,29/11/2025,Bayern Munich,St Pauli,1.24,3.8
Bundesliga,29/11/2025,Hoffenheim,Augsburg,1.53,2.41
Bundesliga,29/11/2025,Union Berlin,Heidenheim,1.85,1.91
Bundesliga,29/11/2025,Werder Bremen,FC Koln,1.52,2.44
Bundesliga,29/11/2025,Leverkusen,Dortmund,1.56,2.35
Bundesliga,30/11/2025,Hamburg,Stuttgart,1.53,2.42
Bundesliga,30/11/2025,Ein Frankfurt,Wolfsburg,1.46,2.61
Bundesliga,30/11/2025,Freiburg,Mainz,1.95,1.8
Bundesliga,05/12/2025,Mainz,M'gladbach,1.7,2.1
Bundesliga,06/12/2025,Augsburg,Leverkusen,1.58,2.31
Bundesliga,06/12/2025,FC Koln,St Pauli,1.83,1.93
Bundesliga,06/12/2025,Heidenheim,Freiburg,1.85,1.9
Bundesliga,06/12/2025,Stuttgart,Bayern Munich,1.33,3.23
Bundesliga,06/12/2025,Wolfsburg,Union Berlin,1.87,1.88
Bundesliga,06/12/2025,RB Leipzig,Ein Frankfurt,1.42,2.73
Bundesliga,07/12/2025,Hamburg,Werder Bremen,1.65,2.16
Bundesliga,07/12/2025,Dortmund,Hoffenheim,1.47,2.6
Bundesliga,12/12/2025,Union Berlin,RB Leipzig,1.89,1.86
Bundesliga,13/12/2025,Ein Frankfurt,Augsburg,1.55,2.36
Bundesliga,13/12/2025,Hoffenheim,Hamburg,1.5,2.49
Bundesliga,13/12/2025,M'gladbach,Wolfsburg,1.56,2.33
Bundesliga,13/12/2025,St Pauli,Heidenheim,2.11,1.68
Bundesliga,13/12/2025,Leverkusen,FC Koln,1.49,2.53
Bundesliga,14/12/2025,Freiburg,Dortmund,1.8,1.94
Bundesliga,14/12/2025,Bayern Munich,Mainz,1.21,4.11
Bundesliga,14/12/2025,Werder Bremen,Stuttgart,1.52,2.44
Bundesliga,19/12/2025,Dortmund,M'gladbach,1.48,2.57
Bundesliga,20/12/2025,Augsburg,Werder Bremen,1.72,02.06
Bundesliga,20/12/2025,FC Koln,Union Berlin,1.93,1.83
Bundesliga,20/12/2025,Hamburg,Ein Frankfurt,1.65,2.17
Bundesliga,20/12/2025,Stuttgart,Hoffenheim,1.46,2.62
Bundesliga,20/12/2025,Wolfsburg,Freiburg,1.77,1.99
Bundesliga,20/12/2025,RB Leipzig,Leverkusen,1.51,2.45
Bundesliga,21/12/2025,Mainz,St Pauli,2.1,1.68
Bundesliga,21/12/2025,Heidenheim,Bayern Munich,1.23,3.99
Bundesliga,09/01/2026,Ein Frankfurt,Dortmund,1.6,2.27
Bundesliga,10/01/2026,Freiburg,Hamburg,1.79,1.97
Bundesliga,10/01/2026,Heidenheim,FC Koln,1.73,02.04
Bundesliga,10/01/2026,Union Berlin,Mainz,2.18,1.64
Bundesliga,10/01/2026,Leverkusen,Stuttgart,1.48,2.57
Bundesliga,11/01/2026,M'gladbach,Augsburg,1.77,1.99
Bundesliga,11/01/2026,Bayern Munich,Wolfsburg,1.18,4.54
Bundesliga,13/01/2026,Stuttgart,Ein Frankfurt,1.46,2.62
Bundesliga,13/01/2026,Dortmund,Werder Bremen,1.44,2.68
Bundesliga,13/01/2026,Mainz,Heidenheim,1.73,02.05
Bundesliga,14/01/2026,Wolfsburg,St Pauli,1.84,1.91
Bundesliga,14/01/2026,FC Koln,Bayern Munich,1.24,3.82
Bundesliga,14/01/2026,Hoffenheim,M'gladbach,1.56,2.34
Bundesliga,14/01/2026,RB Leipzig,Freiburg,1.57,2.33
Bundesliga,15/01/2026,Augsburg,Union Berlin,2.21,1.62
Bundesliga,16/01/2026,Werder Bremen,Ein Frankfurt,1.63,2.22
Bundesliga,17/01/2026,Dortmund,St Pauli,1.65,2.16
Bundesliga,17/01/2026,FC Koln,Mainz,1.71,02.07
Bundesliga,17/01/2026,Hamburg,M'gladbach,1.73,02.03
Bundesliga,17/01/2026,Hoffenheim,Leverkusen,1.47,2.6
Bundesliga,17/01/2026,Wolfsburg,Heidenheim,1.57,2.32
Bundesliga,17/01/2026,RB Leipzig,Bayern Munich,1.3,3.32
Bundesliga,18/01/2026,Stuttgart,Union Berlin,1.79,1.95
Bundesliga,18/01/2026,Augsburg,Freiburg,1.9,1.85
Bundesliga,23/01/2026,St Pauli,Hamburg,2.59,1.47
Bundesliga,24/01/2026,Bayern Munich,Augsburg,1.22,04.06
Bundesliga,24/01/2026,Ein Frankfurt,Hoffenheim,1.52,2.45
Bundesliga,24/01/2026,Heidenheim,RB Leipzig,1.48,2.56
Bundesliga,24/01/2026,Leverkusen,Werder Bremen,1.48,2.58
Bundesliga,24/01/2026,Mainz,Wolfsburg,1.74,02.04
Bundesliga,24/01/2026,Union Berlin,Dortmund,1.91,1.84
Bundesliga,25/01/2026,M'gladbach,Stuttgart,1.52,2.44
Bundesliga,25/01/2026,Freiburg,FC Koln,1.78,1.99
Bundesliga,27/01/2026,St Pauli,RB Leipzig,02.05,1.74
Bundesliga,27/01/2026,Werder Bremen,Hoffenheim,1.65,2.19
Bundesliga,30/01/2026,FC Koln,Wolfsburg,1.57,2.33
Bundesliga,31/01/2026,Augsburg,St Pauli,2.21,1.62
Bundesliga,31/01/2026,Ein Frankfurt,Leverkusen,1.52,2.43
Bundesliga,31/01/2026,Hoffenheim,Union Berlin,1.79,1.96
Bundesliga,31/01/2026,RB Leipzig,Mainz,1.5,2.5
Bundesliga,31/01/2026,Werder Bremen,M'gladbach,1.66,2.15
Bundesliga,31/01/2026,Hamburg,Bayern Munich,1.3,3.41
Bundesliga,01/02/2026,Stuttgart,Freiburg,1.6,2.27
Bundesliga,01/02/2026,Dortmund,Heidenheim,1.42,2.76
Bundesliga,06/02/2026,Union Berlin,Ein Frankfurt,1.87,1.88
Bundesliga,07/02/2026,Freiburg,Werder Bremen,1.74,02.03
Bundesliga,07/02/2026,Heidenheim,Hamburg,1.77,1.99
Bundesliga,07/02/2026,Mainz,Augsburg,1.8,1.95
Bundesliga,07/02/2026,St Pauli,Stuttgart,1.87,1.89
Bundesliga,07/02/2026,Wolfsburg,Dortmund,1.56,2.36
Bundesliga,07/02/2026,M'gladbach,Leverkusen,1.6,2.26
Bundesliga,08/02/2026,FC Koln,RB Leipzig,1.46,2.62
Bundesliga,08/02/2026,Bayern Munich,Hoffenheim,1.23,3.92
Bundesliga,13/02/2026,Dortmund,Mainz,1.52,2.45
Bundesliga,14/02/2026,Ein Frankfurt,M'gladbach,1.72,02.06
Bundesliga,14/02/2026,Hamburg,Union Berlin,02.07,1.71
Bundesliga,14/02/2026,Hoffenheim,Freiburg,1.66,2.17
Bundesliga,14/02/2026,Leverkusen,St Pauli,1.82,1.94
Bundesliga,14/02/2026,Werder Bremen,Bayern Munich,1.31,3.34
Bundesliga,14/02/2026,Stuttgart,FC Koln,1.43,2.72
Bundesliga,15/02/2026,Augsburg,Heidenheim,1.71,02.08
Bundesliga,15/02/2026,RB Leipzig,Wolfsburg,1.38,2.93
Bundesliga,20/02/2026,Mainz,Hamburg,1.76,2
Bundesliga,21/02/2026,Bayern Munich,Ein Frankfurt,1.19,4.41
Bundesliga,21/02/2026,FC Koln,Hoffenheim,1.56,2.34
Bundesliga,21/02/2026,Union Berlin,Leverkusen,1.88,1.87
Bundesliga,21/02/2026,Wolfsburg,Augsburg,1.68,2.12
Bundesliga,21/02/2026,RB Leipzig,Dortmund,1.43,2.69
Bundesliga,22/02/2026,Freiburg,M'gladbach,1.86,1.9
Bundesliga,22/02/2026,St Pauli,Werder Bremen,2.27,1.6
Bundesliga,22/02/2026,Heidenheim,Stuttgart,1.53,2.43
Bundesliga,27/02/2026,Augsburg,FC Koln,1.81,1.96
Bundesliga,28/02/2026,Hoffenheim,St Pauli,1.73,02.04
Bundesliga,28/02/2026,Leverkusen,Mainz,1.64,2.19
Bundesliga,28/02/2026,M'gladbach,Union Berlin,2,1.77
Bundesliga,28/02/2026,Werder Bremen,Heidenheim,1.67,2.14
Bundesliga,28/02/2026,Dortmund,Bayern Munich,1.3,3.36
Bundesliga,01/03/2026,Stuttgart,Wolfsburg,1.42,2.74
Bundesliga,01/03/2026,Ein Frankfurt,Freiburg,1.75,2
Bundesliga,01/03/2026,Hamburg,RB Leipzig,1.56,2.35
Bundesliga,04/03/2026,Hamburg,Leverkusen,1.7,02.09
Bundesliga,06/03/2026,Bayern Munich,M'gladbach,1.25,3.78
Bundesliga,07/03/2026,Freiburg,Leverkusen,1.85,1.91
Bundesliga,07/03/2026,Heidenheim,Hoffenheim,1.47,2.6
Bundesliga,07/03/2026,Mainz,Stuttgart,1.58,2.3
Bundesliga,07/03/2026,RB Leipzig,Augsburg,1.43,2.72
Bundesliga,07/03/2026,Wolfsburg,Hamburg,1.67,2.13
Bundesliga,07/03/2026,FC Koln,Dortmund,1.55,2.37
Bundesliga,08/03/2026,St Pauli,Ein Frankfurt,1.96,1.79
Bundesliga,08/03/2026,Union Berlin,Werder Bremen,1.97,1.77
Bundesliga,13/03/2026,M'gladbach,St Pauli,2.21,1.63
Bundesliga,14/03/2026,Dortmund,Augsburg,1.51,2.46
Bundesliga,14/03/2026,Ein Frankfurt,Heidenheim,1.54,2.36
