fixture_id,league_id,season,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5,fetched_at,kickoff_utc
1388359,78,2025,1899 Hoffenheim,1. FC Köln,1.53,2.42,2025-10-02T18:30:00+00:00,2025-10-03T18:30:00+00:00
1388353,78,2025,FC Augsburg,VfL Wolfsburg,1.7,2.09,2025-10-03T13:30:00+00:00,2025-10-04T13:30:00+00:00
1388356,78,2025,Borussia Dortmund,RB Leipzig,1.36,3.03,2025-10-03T13:30:00+00:00,2025-10-04T13:30:00+00:00
1388354,78,2025,Bayer Leverkusen,Union Berlin,1.75,2.02,2025-10-03T13:30:00+00:00,2025-10-04T13:30:00+00:00
1388361,78,2025,Werder Bremen,FC St. Pauli,1.74,2.03,2025-10-03T13:30:00+00:00,2025-10-04T13:30:00+00:00
1388357,78,2025,Eintracht Frankfurt,Bayern München,1.28,3.54,2025-10-03T16:30:00+00:00,2025-10-04T16:30:00+00:00
1388360,78,2025,VfB Stuttgart,1. FC Heidenheim,1.46,2.62,2025-10-04T13:30:00+00:00,2025-10-05T13:30:00+00:00
1388358,78,2025,Hamburger SV,FSV Mainz 05,1.69,2.1,2025-10-04T15:30:00+00:00,2025-10-05T15:30:00+00:00
1388355,78,2025,Borussia Mönchengladbach,SC Freiburg,1.7,2.1,2025-10-04T17:30:00+00:00,2025-10-05T17:30:00+00:00
1388369,78,2025,Union Berlin,Borussia Mönchengladbach,1.83,1.93,2025-10-16T18:30:00+00:00,2025-10-17T18:30:00+00:00
1388363,78,2025,1. FC Köln,FC Augsburg,1.57,2.31,2025-10-17T13:30:00+00:00,2025-10-18T13:30:00+00:00
1388365,78,2025,1. FC Heidenheim,Werder Bremen,1.66,2.16,2025-10-17T13:30:00+00:00,2025-10-18T13:30:00+00:00
1388366,78,2025,FSV Mainz 05,Bayer Leverkusen,1.74,2.02,2025-10-17T13:30:00+00:00,2025-10-18T13:30:00+00:00
1388367,78,2025,RB Leipzig,Hamburger SV,1.35,3.07,2025-10-17T13:30:00+00:00,2025-10-18T13:30:00+00:00
1388370,78,2025,VfL Wolfsburg,VfB Stuttgart,1.58,2.28,2025-10-17T13:30:00+00:00,2025-10-18T13:30:00+00:00
1388362,78,2025,Bayern München,Borussia Dortmund,1.31,3.31,2025-10-17T16:30:00+00:00,2025-10-18T16:30:00+00:00
1388364,78,2025,SC Freiburg,Eintracht Frankfurt,1.6,2.27,2025-10-18T13:30:00+00:00,2025-10-19T13:30:00+00:00
1388368,78,2025,FC St. Pauli,1899 Hoffenheim,1.77,1.99,2025-10-18T15:30:00+00:00,2025-10-19T15:30:00+00:00
1388379,78,2025,Werder Bremen,Union Berlin,1.68,2.13,2025-10-23T18:30:00+00:00,2025-10-24T18:30:00+00:00
1388371,78,2025,FC Augsburg,RB Leipzig,1.44,2.69,2025-10-24T13:30:00+00:00,2025-10-25T13:30:00+00:00
1388375,78,2025,Eintracht Frankfurt,FC St. Pauli,1.56,2.35,2025-10-24T13:30:00+00:00,2025-10-25T13:30:00+00:00
1388376,78,2025,Hamburger SV,VfL Wolfsburg,1.61,2.26,2025-10-24T13:30:00+00:00,2025-10-25T13:30:00+00:00
1388377,78,2025,1899 Hoffenheim,1. FC Heidenheim,1.48,2.56,2025-10-24T13:30:00+00:00,2025-10-25T13:30:00+00:00
1388373,78,2025,Borussia Mönchengladbach,Bayern München,1.26,3.67,2025-10-24T13:30:00+00:00,2025-10-25T13:30:00+00:00
1388374,78,2025,Borussia Dortmund,1. FC Köln,1.4,2.8,2025-10-24T16:30:00+00:00,2025-10-25T16:30:00+00:00
1388372,78,2025,Bayer Leverkusen,SC Freiburg,1.72,2.06,2025-10-25T14:30:00+00:00,2025-10-26T14:30:00+00:00
1388378,78,2025,VfB Stuttgart,FSV Mainz 05,1.57,2.33,2025-10-25T16:30:00+00:00,2025-10-26T16:30:00+00:00
1388380,78,2025,FC Augsburg,Borussia Dortmund,1.48,2.57,2025-10-30T19:30:00+00:00,2025-10-31T19:30:00+00:00
1388383,78,2025,1. FC Heidenheim,Eintracht Frankfurt,1.47,2.59,2025-10-31T14:30:00+00:00,2025-11-01T14:30:00+00:00
1388384,78,2025,FSV Mainz 05,Werder Bremen,1.55,2.37,2025-10-31T14:30:00+00:00,2025-11-01T14:30:00+00:00
1388385,78,2025,RB Leipzig,VfB Stuttgart,1.41,2.76,2025-10-31T14:30:00+00:00,2025-11-01T14:30:00+00:00
1388386,78,2025,FC St. Pauli,Borussia Mönchengladbach,1.85,1.89,2025-10-31T14:30:00+00:00,2025-11-01T14:30:00+00:00
1388387,78,2025,Union Berlin,SC Freiburg,2.08,1.7,2025-10-31T14:30:00+00:00,2025-11-01T14:30:00+00:00
1388381,78,2025,Bayern München,Bayer Leverkusen,1.25,3.76,2025-10-31T17:30:00+00:00,2025-11-01T17:30:00+00:00
1388382,78,2025,1. FC Köln,Hamburger SV,1.62,2.23,2025-11-01T14:30:00+00:00,2025-11-02T14:30:00+00:00
1388388,78,2025,VfL Wolfsburg,1899 Hoffenheim,1.53,2.39,2025-11-01T16:30:00+00:00,2025-11-02T16:30:00+00:00
1388397,78,2025,Werder Bremen,VfL Wolfsburg,1.55,2.39,2025-11-06T19:30:00+00:00,2025-11-07T19:30:00+00:00
1388393,78,2025,Hamburger SV,Borussia Dortmund,1.47,2.57,2025-11-07T14:30:00+00:00,2025-11-08T14:30:00+00:00
1388394,78,2025,1899 Hoffenheim,RB Leipzig,1.39,2.89,2025-11-07T14:30:00+00:00,2025-11-08T14:30:00+00:00
1388389,78,2025,Bayer Leverkusen,1. FC Heidenheim,1.5,2.49,2025-11-07T14:30:00+00:00,2025-11-08T14:30:00+00:00
1388396,78,2025,Union Berlin,Bayern München,1.37,2.99,2025-11-07T14:30:00+00:00,2025-11-08T14:30:00+00:00
1388390,78,2025,Borussia Mönchengladbach,1. FC Köln,1.61,2.24,2025-11-07T17:30:00+00:00,2025-11-08T17:30:00+00:00
1388392,78,2025,SC Freiburg,FC St. Pauli,1.97,1.78,2025-11-08T14:30:00+00:00,2025-11-09T14:30:00+00:00
1388395,78,2025,VfB Stuttgart,FC Augsburg,1.53,2.41,2025-11-08T16:30:00+00:00,2025-11-09T16:30:00+00:00
1388391,78,2025,Eintracht Frankfurt,FSV Mainz 05,1.53,2.41,2025-11-08T18:30:00+00:00,2025-11-09T18:30:00+00:00
1388403,78,2025,FSV Mainz 05,1899 Hoffenheim,1.6,2.27,2025-11-20T19:30:00+00:00,2025-11-21T19:30:00+00:00
1388398,78,2025,FC Augsburg,Hamburger SV,1.68,2.11,2025-11-21T14:30:00+00:00,2025-11-22T14:30:00+00:00
1388399,78,2025,Bayern München,SC Freiburg,1.34,3.12,2025-11-21T14:30:00+00:00,2025-11-22T14:30:00+00:00
