League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Serie A,09/11/2025,Atalanta,Sassuolo,1.65,2.17
Serie A,09/11/2025,Bologna,Napoli,2.45,1.52
Serie A,09/11/2025,Genoa,Fiorentina,2.47,1.51
Serie A,09/11/2025,Roma,Udinese,1.99,1.77
Serie A,09/11/2025,Inter,Lazio,1.65,2.16
Serie A,22/11/2025,Cagliari,Genoa,2.64,1.45
Serie A,22/11/2025,Udinese,Bologna,2.24,1.61
Serie A,22/11/2025,Fiorentina,Juventus,02.08,1.71
Serie A,22/11/2025,Napoli,Atalanta,02.05,1.73
Serie A,23/11/2025,Verona,Parma,2.48,1.5
Serie A,23/11/2025,Cremonese,Roma,02.07,1.71
Serie A,23/11/2025,Lazio,Lecce,2.15,1.65
Serie A,23/11/2025,Inter,Milan,1.85,1.9
Serie A,24/11/2025,Torino,Como,2.26,1.6
Serie A,24/11/2025,Sassuolo,Pisa,2.22,1.62
Serie A,28/11/2025,Como,Sassuolo,1.89,1.86
Serie A,29/11/2025,Genoa,Verona,2.69,1.44
Serie A,29/11/2025,Parma,Udinese,2.25,1.6
Serie A,29/11/2025,Juventus,Cagliari,1.91,1.85
Serie A,29/11/2025,Milan,Lazio,2.1,1.69
Serie A,30/11/2025,Lecce,Torino,2.59,1.47
Serie A,30/11/2025,Pisa,Inter,1.72,02.06
Serie A,30/11/2025,Atalanta,Fiorentina,1.85,1.9
Serie A,30/11/2025,Roma,Napoli,2.46,1.52
Serie A,01/12/2025,Bologna,Cremonese,02.01,1.76
Serie A,06/12/2025,Sassuolo,Fiorentina,02.06,1.72
Serie A,06/12/2025,Inter,Como,1.76,2
Serie A,06/12/2025,Verona,Atalanta,1.91,1.85
Serie A,07/12/2025,Cremonese,Lecce,2.47,1.51
Serie A,07/12/2025,Cagliari,Roma,2.16,1.65
Serie A,07/12/2025,Lazio,Bologna,2.43,1.52
Serie A,07/12/2025,Napoli,Juventus,2.44,1.52
Serie A,08/12/2025,Pisa,Parma,2.43,1.52
Serie A,08/12/2025,Udinese,Genoa,2.43,1.53
Serie A,08/12/2025,Torino,Milan,02.02,1.75
Serie A,12/12/2025,Lecce,Pisa,2.7,1.43
Serie A,13/12/2025,Torino,Cremonese,2.19,1.64
Serie A,13/12/2025,Parma,Lazio,2.24,1.61
Serie A,13/12/2025,Atalanta,Cagliari,1.67,2.13
Serie A,14/12/2025,Milan,Sassuolo,1.77,1.98
Serie A,14/12/2025,Fiorentina,Verona,2.17,1.65
Serie A,14/12/2025,Udinese,Napoli,2.29,1.58
Serie A,14/12/2025,Genoa,Inter,1.97,1.77
Serie A,14/12/2025,Bologna,Juventus,2.2,1.63
Serie A,15/12/2025,Roma,Como,2.19,1.64
Serie A,20/12/2025,Lazio,Cremonese,2,1.76
Serie A,20/12/2025,Juventus,Roma,2.27,1.59
Serie A,21/12/2025,Cagliari,Pisa,2.35,1.56
Serie A,21/12/2025,Sassuolo,Torino,2.18,1.64
Serie A,21/12/2025,Fiorentina,Udinese,2.1,1.69
Serie A,21/12/2025,Genoa,Atalanta,02.07,1.71
Serie A,27/12/2025,Parma,Fiorentina,2.2,1.64
Serie A,27/12/2025,Lecce,Como,2.25,1.6
Serie A,27/12/2025,Torino,Cagliari,2.14,1.66
Serie A,27/12/2025,Udinese,Lazio,2.24,1.61
Serie A,27/12/2025,Pisa,Juventus,1.92,1.83
Serie A,28/12/2025,Milan,Verona,1.81,1.94
