League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Ligue 1,02/11/2025,Brest,Lyon,1.74,02.03
Ligue 1,07/11/2025,Paris FC,Rennes,1.75,02.02
Ligue 1,08/11/2025,Marseille,Brest,1.63,2.2
Ligue 1,08/11/2025,Le Havre,Nantes,2.16,1.65
Ligue 1,08/11/2025,Monaco,Lens,1.52,2.42
Ligue 1,09/11/2025,Lorient,Toulouse,02.04,1.73
Ligue 1,09/11/2025,Angers,Auxerre,2.24,1.6
Ligue 1,09/11/2025,Metz,Nice,1.71,02.07
Ligue 1,09/11/2025,Strasbourg,Lille,1.71,02.06
Ligue 1,09/11/2025,Lyon,Paris SG,1.62,2.21
Ligue 1,21/11/2025,Nice,Marseille,1.7,02.09
Ligue 1,22/11/2025,Lens,Strasbourg,1.62,2.21
Ligue 1,22/11/2025,Rennes,Monaco,1.53,2.39
Ligue 1,22/11/2025,Paris SG,Le Havre,1.46,2.59
Ligue 1,23/11/2025,Auxerre,Lyon,1.92,1.83
Ligue 1,23/11/2025,Brest,Metz,1.79,1.96
Ligue 1,23/11/2025,Nantes,Lorient,1.97,1.78
Ligue 1,23/11/2025,Toulouse,Angers,02.02,1.75
Ligue 1,23/11/2025,Lille,Paris FC,1.65,2.16
Ligue 1,28/11/2025,Metz,Rennes,1.66,2.16
Ligue 1,29/11/2025,Monaco,Paris SG,1.41,2.75
Ligue 1,29/11/2025,Paris FC,Auxerre,1.81,1.95
Ligue 1,29/11/2025,Marseille,Toulouse,1.78,1.96
Ligue 1,30/11/2025,Strasbourg,Brest,1.72,02.05
Ligue 1,30/11/2025,Angers,Lens,1.8,1.95
Ligue 1,30/11/2025,Le Havre,Lille,1.88,1.87
Ligue 1,30/11/2025,Lorient,Nice,1.82,1.93
Ligue 1,30/11/2025,Lyon,Nantes,1.69,2.1
Ligue 1,05/12/2025,Brest,Monaco,1.52,2.44
Ligue 1,05/12/2025,Lille,Marseille,1.7,02.09
Ligue 1,06/12/2025,Nantes,Lens,1.68,2.1
Ligue 1,06/12/2025,Toulouse,Strasbourg,1.86,1.88
Ligue 1,06/12/2025,Paris SG,Rennes,1.39,2.85
Ligue 1,07/12/2025,Nice,Angers,1.83,1.93
Ligue 1,07/12/2025,Auxerre,Metz,1.94,1.81
Ligue 1,07/12/2025,Le Havre,Paris FC,1.95,1.8
Ligue 1,07/12/2025,Lorient,Lyon,1.83,1.92
Ligue 1,12/12/2025,Angers,Nantes,2.26,1.59
