League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Liga,01/11/2025,Real Madrid,Valencia,1.34,03.07
Liga,02/11/2025,Levante,Celta,1.78,1.96
Liga,02/11/2025,Alaves,Espanol,2.48,1.5
Liga,02/11/2025,Barcelona,Elche,1.33,3.14
Liga,02/11/2025,Betis,Mallorca,1.85,1.9
Liga,03/11/2025,Oviedo,Osasuna,2.4,1.53
Liga,07/11/2025,Elche,Sociedad,2.18,1.65
Liga,08/11/2025,Girona,Alaves,2.27,1.6
Liga,08/11/2025,Sevilla,Osasuna,2.22,1.62
Liga,08/11/2025,Ath Madrid,Levante,1.45,2.62
Liga,08/11/2025,Espanol,Villarreal,1.73,02.03
Liga,09/11/2025,Ath Bilbao,Oviedo,2.16,1.65
Liga,09/11/2025,Vallecano,Real Madrid,1.57,2.3
Liga,09/11/2025,Mallorca,Getafe,2.96,1.36
Liga,09/11/2025,Valencia,Betis,1.87,1.88
Liga,09/11/2025,Celta,Barcelona,1.4,2.79
Liga,21/11/2025,Valencia,Levante,1.84,1.92
Liga,22/11/2025,Alaves,Celta,2.29,1.58
Liga,22/11/2025,Barcelona,Ath Bilbao,1.5,2.49
Liga,22/11/2025,Osasuna,Sociedad,2.28,1.59
Liga,22/11/2025,Villarreal,Mallorca,1.65,2.17
Liga,23/11/2025,Oviedo,Vallecano,2.2,1.63
Liga,23/11/2025,Betis,Girona,1.6,2.24
Liga,23/11/2025,Getafe,Ath Madrid,2.52,1.49
Liga,23/11/2025,Elche,Real Madrid,1.47,2.57
Liga,24/11/2025,Espanol,Sevilla,02.06,1.71
Liga,28/11/2025,Getafe,Elche,2.79,1.41
Liga,29/11/2025,Mallorca,Osasuna,2.43,1.52
Liga,29/11/2025,Barcelona,Alaves,1.35,03.03
Liga,29/11/2025,Levante,Ath Bilbao,02.07,1.71
Liga,29/11/2025,Ath Madrid,Oviedo,1.66,2.16
Liga,30/11/2025,Sociedad,Villarreal,1.84,1.9
Liga,30/11/2025,Sevilla,Betis,1.9,1.83
Liga,30/11/2025,Celta,Espanol,1.85,1.89
Liga,30/11/2025,Girona,Real Madrid,1.39,2.87
Liga,01/12/2025,Vallecano,Valencia,02.08,1.7
Liga,02/12/2025,Barcelona,Ath Madrid,1.4,2.86
Liga,03/12/2025,Ath Bilbao,Real Madrid,1.7,02.08
Liga,05/12/2025,Oviedo,Mallorca,2.46,1.52
Liga,06/12/2025,Villarreal,Getafe,02.09,1.69
Liga,06/12/2025,Alaves,Sociedad,2.5,1.49
Liga,06/12/2025,Betis,Barcelona,1.34,03.06
Liga,06/12/2025,Ath Bilbao,Ath Madrid,2.14,1.66
Liga,07/12/2025,Elche,Girona,1.86,1.89
Liga,07/12/2025,Valencia,Sevilla,02.08,1.7
Liga,07/12/2025,Espanol,Vallecano,2.22,1.62
Liga,07/12/2025,Real Madrid,Celta,1.36,03.01
Liga,08/12/2025,Osasuna,Levante,1.94,1.81
Liga,12/12/2025,Sociedad,Girona,1.88,1.87
Liga,13/12/2025,Ath Madrid,Valencia,1.7,02.08
Liga,13/12/2025,Mallorca,Elche,2.3,1.57
Liga,13/12/2025,Barcelona,Osasuna,1.23,3.87
Liga,13/12/2025,Getafe,Espanol,03.01,1.36
Liga,14/12/2025,Sevilla,Oviedo,2.18,1.64
Liga,14/12/2025,Celta,Ath Bilbao,2.13,1.67
Liga,14/12/2025,Alaves,Real Madrid,1.71,02.05
Liga,15/12/2025,Vallecano,Betis,1.92,1.83
Liga,19/12/2025,Valencia,Mallorca,2.4,1.54
Liga,20/12/2025,Oviedo,Celta,2.21,1.62
Liga,20/12/2025,Levante,Sociedad,1.87,1.86
Liga,20/12/2025,Osasuna,Alaves,2.52,1.49
Liga,20/12/2025,Real Madrid,Sevilla,1.34,3.11
Liga,21/12/2025,Girona,Ath Madrid,1.73,02.03
Liga,21/12/2025,Villarreal,Barcelona,1.26,3.66
Liga,21/12/2025,Elche,Vallecano,2.3,1.57
Liga,21/12/2025,Betis,Getafe,2.34,1.56
Liga,22/12/2025,Ath Bilbao,Espanol,2.22,1.61
Liga,02/01/2026,Vallecano,Getafe,3.19,1.33
Liga,03/01/2026,Celta,Valencia,02.09,1.69
Liga,03/01/2026,Osasuna,Ath Bilbao,2.38,1.54
Liga,03/01/2026,Elche,Villarreal,1.75,2
Liga,03/01/2026,Espanol,Barcelona,1.39,2.86
Liga,04/01/2026,Sevilla,Levante,1.87,1.86
Liga,04/01/2026,Real Madrid,Betis,1.44,2.66
Liga,04/01/2026,Alaves,Oviedo,2.77,1.4
Liga,04/01/2026,Mallorca,Girona,2.17,1.64
Liga,04/01/2026,Sociedad,Ath Madrid,2,1.75
Liga,09/01/2026,Getafe,Sociedad,03.04,1.36
Liga,10/01/2026,Oviedo,Betis,02.05,1.72
Liga,10/01/2026,Villarreal,Alaves,1.85,1.88
Liga,10/01/2026,Girona,Osasuna,02.08,1.69
