iter	Logloss
0	0.6918733387
1	0.6910473531
2	0.6903095494
3	0.6895933545
4	0.6886499481
5	0.6877938357
6	0.6871977638
7	0.6862572347
8	0.6855160658
9	0.6843810258
10	0.6834468979
11	0.683157248
12	0.6818988293
13	0.6809023318
14	0.6801177697
15	0.6797571458
16	0.6792589553
17	0.6786655479
18	0.6776894604
19	0.676826349
20	0.675970977
21	0.6747894831
22	0.6738439405
23	0.673331964
24	0.6731130264
25	0.672190207
26	0.6717547235
27	0.6706109909
28	0.6700123814
29	0.6688943287
30	0.6679338309
31	0.6674640641
32	0.6666881184
33	0.6658185943
34	0.6650654549
35	0.6643881363
36	0.6636672296
37	0.6628658459
38	0.6625261903
39	0.6620122978
40	0.661411695
41	0.6609570711
42	0.660095076
43	0.6594336794
44	0.6583036554
45	0.6576786333
46	0.656972527
47	0.6566339796
48	0.6561314845
49	0.6555089895
50	0.6549224684
51	0.6543572865
52	0.6531464191
53	0.6524912399
54	0.6520340511
55	0.6517621349
56	0.6512726817
57	0.6508166161
58	0.6500802672
59	0.6497586029
60	0.6494595458
61	0.6490696117
62	0.648427355
63	0.6477027922
64	0.6472169722
65	0.6469048264
66	0.6461748907
67	0.6458809808
68	0.6452741761
69	0.6448870121
70	0.6441029044
71	0.6436094141
72	0.6430949242
73	0.642734436
74	0.6419853606
75	0.6416710108
76	0.6412618992
77	0.6405126025
78	0.6397968617
79	0.6393756717
80	0.6385857162
81	0.6383723537
82	0.6378845691
83	0.6374049254
84	0.6369021705
85	0.6365189624
86	0.6361131515
87	0.6356796253
88	0.6351608184
89	0.6347116873
90	0.6342979563
91	0.6336878301
92	0.6333062072
93	0.6328866725
94	0.6324508828
95	0.6320805507
96	0.631218431
97	0.6310143852
98	0.6308177333
99	0.6302577803
100	0.6297507014
101	0.6291662847
102	0.6287948876
103	0.6282954953
104	0.6276612161
105	0.6271022827
106	0.6266442017
107	0.6260874194
108	0.6253665188
109	0.6248700564
110	0.6245954739
111	0.6240477976
112	0.6234127437
113	0.6228317356
114	0.6222981485
115	0.6219793554
116	0.6214645112
117	0.6212574045
118	0.6205919061
119	0.6202556747
120	0.6196981164
121	0.6192709149
122	0.6188015884
123	0.6181799393
124	0.6178162901
125	0.6175881709
126	0.6169505535
127	0.6165424267
128	0.6161597498
129	0.6156061484
130	0.6150402638
131	0.6145358716
132	0.6138710568
133	0.6135342697
134	0.6130049013
135	0.6125365259
136	0.6120185531
137	0.6115672596
138	0.6110219982
139	0.6106935492
140	0.6104709688
141	0.6099139402
142	0.6096284271
143	0.609156956
144	0.6088497655
145	0.6082489589
146	0.6078163877
147	0.6071726006
148	0.6066157955
149	0.6059872821
150	0.6054975048
151	0.605081098
152	0.604618355
153	0.6043484211
154	0.6037647411
155	0.6034226091
156	0.6031164148
157	0.6026314994
158	0.602222377
159	0.6019171232
160	0.6013895516
161	0.6011837245
162	0.6005594166
163	0.6001743292
164	0.5999365638
165	0.5996004066
166	0.5992432122
167	0.5987907206
168	0.5982669554
169	0.5980490814
170	0.5977409387
171	0.59740363
172	0.5971262588
173	0.5965077426
174	0.5959338057
175	0.5953538915
176	0.5950283111
177	0.5949651917
178	0.5944939234
179	0.5941707836
180	0.5938501108
181	0.5932164789
182	0.5930017262
183	0.5928069393
184	0.5925911608
185	0.5919780761
186	0.5916799528
187	0.591344185
188	0.5908389932
189	0.5906026775
190	0.5903158244
191	0.589963246
192	0.5896459399
193	0.5892760582
194	0.5887117367
195	0.5884476266
196	0.5881434063
197	0.5879134998
198	0.5874425042
199	0.5871100695
200	0.5869621099
201	0.5866746042
202	0.5865572251
203	0.5863303116
204	0.5861698284
205	0.585842896
206	0.5854343112
207	0.5852510726
208	0.5849578608
209	0.5844285823
210	0.584080243
211	0.5835274367
212	0.5831421797
213	0.5828618222
214	0.5823459308
215	0.581881135
216	0.5814135623
217	0.5810527742
218	0.5807153284
219	0.5805412029
220	0.5802831484
221	0.580004357
222	0.5797242498
223	0.5795586444
224	0.5793768249
225	0.5792129153
226	0.5787698832
227	0.5785076902
228	0.5780978123
229	0.5776480354
230	0.5773196106
231	0.5771042404
232	0.57682248
233	0.5765538896
234	0.5761127635
235	0.5755829122
236	0.5748695162
237	0.5744311084
238	0.5741823698
239	0.5739202153
240	0.5732941782
241	0.5731267943
242	0.5728768527
243	0.5725646712
244	0.5722545219
245	0.5719942375
246	0.5718150362
247	0.5714382828
248	0.5711689095
249	0.5708199581
250	0.5706623397
251	0.5702239358
252	0.5698088094
253	0.5692898674
254	0.56903731
255	0.5687239445
256	0.5681538961
257	0.5678474377
258	0.5676379232
259	0.5672089557
260	0.5666021968
261	0.566078084
262	0.5656982637
263	0.5652742421
264	0.564952172
265	0.5646363642
266	0.56427557
267	0.5640085708
268	0.5637288567
269	0.563360724
270	0.5630570896
271	0.5628316052
272	0.5623497493
273	0.5620560597
274	0.5619091501
275	0.5617021474
276	0.5613263049
277	0.5611071366
278	0.5608638894
279	0.5605422237
280	0.5603259187
281	0.5600708245
282	0.5597941609
283	0.5592918902
284	0.5589357264
285	0.5588050329
286	0.5583088185
287	0.5578445387
288	0.5576338215
289	0.557087395
290	0.5566761487
291	0.5564615055
292	0.5560357036
293	0.5558259991
294	0.5555004737
295	0.5551466934
296	0.5549078851
297	0.5544674824
298	0.554203153
299	0.5536455341
